county,state,Lat,Long_,Confirmed,Deaths
Oakland,Michigan,42.66090111,-83.38595416,17694,1157
Alameda,California,37.64629437,-121.8929271,17621,244
Union,New Jersey,40.65835409,-74.30680092,17040,1350
Sacramento,California,38.45106826,-121.3425374,16909,265
San Joaquin,California,37.93433732,-121.2730061,16845,305
Providence,Rhode Island,41.87064746,-71.57753536,16668,0
Polk,Florida,27.95027105,-81.69732947,16569,425
Cobb,Georgia,33.94243204,-84.5761255,16536,381
Santa Clara,California,37.23104908,-121.6970462,16393,240
DeKalb,Georgia,33.76944049,-84.22396017,16278,293
Jefferson,Louisiana,29.74075478,-90.11115756,16269,541
Cuyahoga,Ohio,41.424119,-81.65918339,15316,570
Jefferson,Alabama,33.55554728,-86.895063,15175,286
Baltimore,Maryland,39.45784712,-76.62911955,15043,599
Fort Bend,Texas,29.52704478,-95.77219463,14761,230
Wake,North Carolina,35.78879266,-78.65249174,14387,197
Baltimore City,Maryland,39.30211911,-76.61151012,14243,455
Lake,Illinois,42.3224907,-88.00367925,14223,462
DuPage,Illinois,41.85116968,-88.08642662,14200,533
Rockland,New York,41.15027894,-74.02560498,14183,674
Stanislaus,California,37.55862499,-120.9970722,14101,245
District of Columbia,District of Columbia,38.90417773,-77.01655992,13794,605
Tulare,California,36.22026558,-118.8020203,13673,224
New Haven,Connecticut,41.4080325,-72.93620426,13584,1109
East Baton Rouge,Louisiana,30.53842039,-91.09777565,13520,405
Charleston,South Carolina,32.82487866,-79.96512315,13503,231
Worcester,Massachusetts,42.35026951,-71.90493363,13319,1046
Hartford,Connecticut,41.80283011,-72.73103891,13307,1426
Contra Costa,California,37.91923498,-121.9289527,13259,172
Douglas,Nebraska,41.29518299,-96.15085305,13095,155
Oklahoma,Oklahoma,35.55140095,-97.40716948,12974,150
Tulsa,Oklahoma,36.11939621,-95.94013939,12831,128
Polk,Iowa,41.68679484,-93.57767461,12792,222
Macomb,Michigan,42.69158356,-82.92752801,12454,964
Yuma,Arizona,32.76895712,-113.9066674,12142,315
Greenville,South Carolina,34.89502264,-82.37295012,11851,253
Mobile,Alabama,30.78472347,-88.20842409,11778,247
Collier,Florida,26.11091986,-81.34687065,11471,172
Orange,New York,41.40337468,-74.30240757,11382,494
Orleans,Louisiana,30.06971951,-89.92660315,11279,574
Jefferson,Kentucky,38.18664655,-85.65931031,11167,264
Will,Illinois,41.44619267,-87.97862712,11136,357
Denver,Colorado,39.76018276,-104.8725695,11077,425
Ocean,New Jersey,39.8895449,-74.28089251,11069,1020
Kane,Illinois,41.93842729,-88.42861412,11002,312
Escambia,Florida,30.67652764,-87.37284571,10999,183
Ada,Idaho,43.4526575,-116.2415516,10930,118
Osceola,Florida,28.06312234,-81.14882926,10892,128
Montgomery,Pennsylvania,40.21053671,-75.36652296,10871,861
Yakima,Washington,46.45738486,-120.7380126,10869,238
Hamilton,Ohio,39.19673558,-84.54502924,10836,284
Collin,Texas,33.18820114,-96.57264368,10785,108
Monmouth,New Jersey,40.26549699,-74.22240686,10647,856
Prince William,Virginia,38.70916224,-77.48713689,10577,183
Imperial,California,33.0393082,-115.3669042,10573,286
Utah,Utah,40.1166722,-111.6657662,10539,46
Webb,Texas,27.7610369,-99.33237355,10434,236
Galveston,Texas,29.40167322,-94.90469073,10430,136
Ventura,California,34.44465746,-119.0910613,10412,107
Manatee,Florida,27.47196942,-82.31831044,10310,254
Richland,South Carolina,34.01791263,-80.90267209,10257,193
Delaware,Pennsylvania,39.91680171,-75.40243663,10187,722
Allegheny,Pennsylvania,40.46809875,-79.98167747,10065,304
Denton,Texas,33.20521901,-97.11691153,9745,125
Erie,New York,42.76249024,-78.73063652,9668,676
Norfolk,Massachusetts,42.16073095,-71.20530408,9439,1011
Pinal,Arizona,32.90525627,-111.3449483,9435,180
Horry,South Carolina,33.9212828,-78.99555293,9239,178
San Francisco,California,37.75215114,-122.4385672,9149,82
Volusia,Florida,29.05858895,-81.18263252,9126,186
Camden,New Jersey,39.80343818,-74.96388753,9054,588
Bristol,Massachusetts,41.79228404,-71.10872211,9022,655
Plymouth,Massachusetts,41.94070556,-70.80802823,9007,739
Brazoria,Texas,29.18757369,-95.44563172,8981,131
Lake,Indiana,41.41874274,-87.38277575,8872,293
Ramsey,Minnesota,45.01625271,-93.09872295,8856,296
Kansas City,Missouri,39.0997,-94.5786,8837,66
Montgomery,Texas,30.30079133,-95.50572772,8515,119
Mercer,New Jersey,40.28047017,-74.70479631,8303,625
Kent,Michigan,43.03197711,-85.54934642,8284,162
Marion,Florida,29.21227113,-82.05803627,8261,165
Lafayette,Louisiana,30.2049055,-92.06959876,8205,110
Anne Arundel,Maryland,39.00670238,-76.60329337,8132,232
Arapahoe,Colorado,39.64977461,-104.3353617,7968,365
New Castle,Delaware,39.57992638,-75.64054974,7927,300
Santa Barbara,California,34.65329488,-120.0188492,7916,90
Pasco,Florida,28.30810945,-82.40227529,7915,172
San Mateo,California,37.4228808,-122.3275546,7911,130
Seminole,Florida,28.7158582,-81.24060348,7896,169
Williamson,Texas,30.64655664,-97.6004854,7867,119
Hamilton,Tennessee,35.17670231,-85.16652245,7763,70
Johnson,Kansas,38.88548175,-94.82250877,7754,116
Merced,California,37.18922369,-120.7209035,7744,112
Rutherford,Tennessee,35.84591405,-86.4107263,7670,67
Bucks,Pennsylvania,40.33682119,-75.10836643,7666,585
Hampden,Massachusetts,42.13440424,-72.63235561,7591,746
Montgomery,Alabama,32.2206831,-86.20969272,7551,157
Monterey,California,36.21862405,-121.2413397,7451,53
Morris,New Jersey,40.86095313,-74.5455371,7442,829
Hall,Georgia,34.32207823,-83.81896936,7365,120
Adams,Colorado,39.87432092,-104.3362578,7331,196
Calcasieu,Louisiana,30.22931235,-93.35400434,7285,181
Caddo,Louisiana,32.57991587,-93.88375652,7278,313
Brevard,Florida,28.29409504,-80.73091022,7092,205
Sarasota,Florida,27.18546175,-82.33174248,7091,198
Lubbock,Texas,33.61008596,-101.8204789,7035,92
Canyon,Idaho,43.61970148,-116.7095499,7004,73
Washoe,Nevada,40.66562265,-119.6631594,6951,133
Honolulu,Hawaii,21.45803166,-157.9712182,6915,47
Chatham,Georgia,32.00043026,-81.12489526,6866,121
Pulaski,Arkansas,34.77054088,-92.31355101,6855,99
St. Lucie,Florida,27.37763908,-80.47106649,6822,233
Durham,North Carolina,36.03638492,-78.87608331,6753,83
Sedgwick,Kansas,37.6842718,-97.4608198,6693,50
Washington,Arkansas,35.976844,-94.21800746,6673,55
Pierce,Washington,47.03892768,-122.1405958,6661,164
Jefferson,Texas,29.8832777,-94.16434171,6586,106
Lancaster,Pennsylvania,40.03904563,-76.24770128,6578,429
Guilford,North Carolina,36.07959451,-79.78824948,6572,168
Hinds,Mississippi,32.2656285,-90.44435448,6396,137
Clayton,Georgia,33.54187245,-84.35594188,6344,132
Burlington,New Jersey,39.87681124,-74.66927768,6327,481
Lucas,Ohio,41.62101218,-83.65468618,6256,341
Lake,Florida,28.76202069,-81.7125123,6213,99
Sussex,Delaware,38.66143781,-75.39031349,6208,195
Knox,Tennessee,35.99508821,-83.94635435,6099,51
Snohomish,Washington,48.04615983,-121.7170703,6077,208
Leon,Florida,30.45955727,-84.27491114,6067,31
Madison,Alabama,34.76327133,-86.55069633,6048,45
St. Louis City,Missouri,38.63555736,-90.24349225,6032,188
Kings,California,36.07409056,-119.8159973,6021,72
McLennan,Texas,31.55255453,-97.20217694,6008,79
Marin,California,38.07122463,-122.7210631,5999,95
Forsyth,North Carolina,36.12859861,-80.25459052,5984,70
Berks,Pennsylvania,40.41570541,-75.92457766,5942,379
St. Tammany,Louisiana,30.40942847,-89.95642711,5917,235
El Paso,Colorado,38.83240149,-104.5251411,5898,150
Wyandotte,Kansas,39.11727348,-94.76378225,5882,113
Virginia Beach,Virginia,36.73285734,-76.04566934,5876,65
Richmond,Georgia,33.35777107,-82.07026432,5853,117
Multnomah,Oregon,45.54747959,-122.4169351,5833,113
Loudoun,Virginia,39.08990083,-77.63481877,5825,117
Bernalillo,New Mexico,35.05163625,-106.6703554,5721,152
Dakota,Minnesota,44.67172617,-93.06299363,5585,110
Chester,Pennsylvania,39.97291773,-75.74768357,5561,355
Lexington,South Carolina,33.89665987,-81.27146426,5550,134
Navajo,Arizona,35.3997715,-110.3218983,5546,218
Elkhart,Indiana,41.59761169,-85.85875695,5485,97
St. Charles,Missouri,38.77875681,-90.66662425,5473,96
Sonoma,California,38.52746429,-122.8862506,5469,78
Waukesha,Wisconsin,43.01833055,-88.30431188,5416,73
Ouachita,Louisiana,32.47645559,-92.15704172,5400,127
Monroe,New York,43.14638895,-77.69322942,5385,289
Muscogee,Georgia,32.50931999,-84.87142262,5384,126
Somerset,New Jersey,40.56465737,-74.61683016,5373,566
Bibb,Georgia,32.80904227,-83.70489165,5351,113
Hays,Texas,30.05669873,-98.02944344,5340,55
Solano,California,38.26827353,-121.9357113,5328,46
Montgomery,Ohio,39.75394919,-84.29050975,5301,120
Dane,Wisconsin,43.06601594,-89.41733797,5294,39
Bay,Florida,30.26548745,-85.62122584,5289,77
Jackson,Missouri,39.01002188,-94.34724536,5254,77
Brown,Wisconsin,44.4526553,-88.00411844,5194,58
Benton,Arkansas,36.33644656,-94.25680817,5185,47
Spokane,Washington,47.62113146,-117.4046494,5158,128
Lehigh,Pennsylvania,40.6154815,-75.59435245,5152,342
St. Clair,Illinois,38.46996033,-89.93063427,5107,170
Alachua,Florida,29.67866525,-82.35928158,5082,31
Minnehaha,South Dakota,43.67441641,-96.7910885,5028,70
San Juan,Puerto Rico,18.386933,-66.061128,4993,0
Tuscaloosa,Alabama,33.28726072,-87.52556818,4954,87
Chesterfield,Virginia,37.37373208,-77.5868014,4946,78
St. Joseph,Indiana,41.61756781,-86.29040834,4922,90
Allen,Indiana,41.09194313,-85.06800636,4826,177
Spartanburg,South Carolina,34.92960077,-81.99225984,4823,142
Dutchess,New York,41.7648606,-73.74356679,4815,153
Bell,Texas,31.03736027,-97.4785025,4706,61
Jefferson,Colorado,39.58635604,-105.2517692,4694,236
Berkeley,South Carolina,33.20222596,-79.94654523,4676,76
Cherokee,Georgia,34.24393976,-84.47431861,4653,75
Beaufort,South Carolina,32.39226291,-80.72619758,4635,65
Santa Rosa,Florida,30.6934145,-87.02458128,4566,55
Brazos,Texas,30.6636448,-96.30205577,4550,54
Anoka,Minnesota,45.27476015,-93.24604565,4516,120
Henrico,Virginia,37.53460572,-77.39326555,4467,191
DeSoto,Mississippi,34.87625235,-89.99091418,4456,43
Henry,Georgia,33.4533428,-84.1481466,4310,71
Howard,Maryland,39.25305293,-76.93126208,4300,117
Norfolk,Virginia,36.89934014,-76.26420872,4297,49
Summit,Ohio,41.12464734,-81.53123079,4281,234
Williamson,Tennessee,35.89099229,-86.89281867,4260,27
St. Johns,Florida,29.90096506,-81.43589967,4239,56
Martin,Florida,27.0772071,-80.43109784,4222,114
Baldwin,Alabama,30.72774991,-87.72207058,4199,34
Ector,Texas,31.86898877,-102.5429428,4181,68
McKinley,New Mexico,35.5800772,-108.262245,4170,242
Winnebago,Illinois,42.33641854,-89.16085327,4153,146
Florence,South Carolina,34.02361754,-79.70189312,4120,149
York,South Carolina,34.97281497,-81.18085944,4107,46
Northampton,Pennsylvania,40.75182733,-75.30471829,4080,299
Benton,Washington,46.23946995,-119.5120834,4057,122
Okaloosa,Florida,30.69143028,-86.59267105,4055,75
Woodbury,Iowa,42.38979414,-96.0459439,4028,56
Potter,Texas,35.40133773,-101.893964,4007,51
Hillsborough,New Hampshire,42.91537785,-71.7200253,4001,285
Weld,Colorado,40.55499405,-104.3929621,4001,146
Sumner,Tennessee,36.46824103,-86.45917204,3972,86
Tangipahoa,Louisiana,30.62888673,-90.40664996,3965,91
Fayette,Kentucky,38.0368225,-84.45576892,3946,52
Gaston,North Carolina,35.29373559,-81.17477045,3946,63
Racine,Wisconsin,42.74753117,-88.05941254,3931,89
Genesee,Michigan,43.02244215,-83.70589709,3927,303
Cumberland,North Carolina,35.04762133,-78.82623165,3914,65
Whitfield,Georgia,34.80987459,-84.96093476,3902,50
Franklin,Washington,46.53351425,-118.9018212,3874,56
Onondaga,New York,43.00491923,-76.19971155,3832,204
Madison,Illinois,38.83042506,-89.90422563,3818,95
Clay,Florida,29.98319144,-81.85609986,3809,75
Union,North Carolina,34.98960527,-80.52955873,3806,48
Lancaster,Nebraska,40.78416049,-96.68777155,3796,20
Richmond City,Virginia,37.53255773,-77.47966921,3767,45
Shelby,Alabama,33.26879845,-86.66232561,3758,40
Victoria,Texas,28.79780988,-96.96813006,3755,75
McHenry,Illinois,42.32451172,-88.45248227,3743,114
Davis,Utah,40.99001837,-112.1139997,3741,23
Luzerne,Pennsylvania,41.17823008,-75.98447579,3730,187
Cleveland,Oklahoma,35.20413532,-97.32519562,3721,63
Johnston,North Carolina,35.51745004,-78.36622717,3717,50
Rapides,Louisiana,31.19778499,-92.52997303,3711,134
Atlantic,New Jersey,39.47538693,-74.65848483,3707,251
Ellis,Texas,32.34894117,-96.79371841,3700,55
Hamilton,Indiana,40.07306535,-86.05244729,3692,107
Butler,Ohio,39.44012838,-84.57388716,3686,73
Washington,Oregon,45.55972701,-123.0955257,3673,39
Marion,Oregon,44.90287942,-122.5815117,3662,77
Chesapeake,Virginia,36.67670048,-76.30545744,3660,47
Black Hawk,Iowa,42.4704581,-92.30524729,3641,73
Gloucester,New Jersey,39.71581067,-75.13995546,3610,219
Madera,California,37.21513971,-119.7665589,3567,54
Mohave,Arizona,35.70471703,-113.7577902,3566,202
Cumberland,New Jersey,39.37199394,-75.10712559,3530,155
Southwest Utah,Utah,37.85447192,-111.4418764,3522,27
Dorchester,South Carolina,33.0794369,-80.40502652,3484,72
Arlington,Virginia,38.8767675,-77.10139853,3457,138
Walker,Texas,30.73872995,-95.57440968,3443,46
Marshall,Alabama,34.36975964,-86.30486727,3441,39
Lowndes,Georgia,30.83568832,-83.27056716,3426,63
Frederick,Maryland,39.47296601,-77.39999394,3413,123
Cass,North Dakota,46.93201724,-97.2444719,3375,76
Robeson,North Carolina,34.64244496,-79.1025053,3368,59
Alexandria,Virginia,38.814003,-77.08183073,3333,61
Livingston,Louisiana,30.44143993,-90.73061664,3330,64
Apache,Arizona,35.39465006,-109.4892383,3323,151
Terrebonne,Louisiana,29.37343766,-90.82626855,3296,96
Columbia,Florida,30.22509788,-82.62160164,3295,32
Coconino,Arizona,35.83883429,-111.7707178,3269,123
Ascension,Louisiana,30.20406249,-90.9132841,3267,90
Maverick,Texas,28.7429195,-100.3157686,3248,78
Weber-Morgan,Utah,41.27116049,-111.9145117,3243,29
Lafourche,Louisiana,29.52470226,-90.40976986,3236,107
York,Pennsylvania,39.9210089,-76.73040131,3232,117
Johnson,Iowa,41.67169354,-91.58754744,3218,26
Dauphin,Pennsylvania,40.41377078,-76.77993242,3214,161
Midland,Texas,31.86904128,-102.0315682,3201,65
Stearns,Minnesota,45.55192576,-94.61078221,3192,21
Warren,Kentucky,36.99903045,-86.42672751,3176,25
Harrison,Mississippi,30.51359752,-89.12467576,3174,53
San Juan,New Mexico,36.50838318,-108.320437,3167,190
Smith,Texas,32.37474036,-95.2717568,3158,57
Tom Green,Texas,31.40464436,-100.462443,3158,48
Douglas,Georgia,33.70291126,-84.77026156,3105,62
Pitt,North Carolina,35.59535426,-77.37353178,3088,17
Cabarrus,North Carolina,35.3877799,-80.55267168,3069,52
Columbia,Georgia,33.54534185,-82.263524,3055,43
Lee,Alabama,32.60154883,-85.35132246,3031,48
St. Landry,Louisiana,30.59724262,-92.00135806,3026,110
Alamance,North Carolina,36.0434701,-79.39976137,3012,44
Anderson,South Carolina,34.51828081,-82.63959517,2997,110
Marion,Ohio,40.58610662,-83.15736305,2995,46
Forsyth,Georgia,34.22604035,-84.1231513,2975,31
Glynn,Georgia,31.23279254,-81.53811412,2957,65
Dougherty,Georgia,31.53328528,-84.21722377,2949,178
Kenosha,Wisconsin,42.57639354,-88.04051686,2920,62
New Hanover,North Carolina,34.25758282,-77.87075626,2903,21
Jackson,Mississippi,30.54020656,-88.64184064,2897,59
Placer,California,39.06167234,-120.7240569,2875,32
Linn,Iowa,42.07923082,-91.59809485,2873,93
Washtenaw,Michigan,42.253105,-83.83853204,2846,115
Madison,Mississippi,32.63389156,-90.03513564,2845,82
Mahoning,Ohio,41.01631101,-80.77287029,2825,264
Anchorage,Alaska,61.14998174,-149.1426986,2819,21
Washington,Minnesota,45.03864533,-92.88429635,2808,54
Indian River,Florida,27.69308961,-80.60556721,2801,96
Sumter,South Carolina,33.91826534,-80.37942316,2793,63
San Luis Obispo,California,35.38822029,-120.4039028,2792,21
Sebastian,Arkansas,35.19605503,-94.27162713,2790,32
Rankin,Mississippi,32.26469147,-89.94537876,2785,60
Acadia,Louisiana,30.2950649,-92.41419698,2781,93
Orangeburg,South Carolina,33.4391073,-80.79886287,2776,94
Dona Ana,New Mexico,32.35275771,-106.8329387,2772,41
Sarpy,Nebraska,41.11314181,-96.11156432,2753,15
Wayne,North Carolina,35.36438125,-78.00027268,2751,51
Wilson,Tennessee,36.15496772,-86.29775884,2739,31
Albany,New York,42.60060306,-73.97723916,2736,131
Kaufman,Texas,32.5991417,-96.28734728,2725,36
Morgan,Alabama,34.45500589,-86.85475946,2723,22
Greene,Missouri,37.2575872,-93.34230916,2718,10
Santa Cruz,Arizona,31.52508998,-110.8479088,2718,57
Rowan,North Carolina,35.64003916,-80.52446628,2708,60
Iberia,Louisiana,29.86803617,-91.75871777,2695,86
Clarke,Georgia,33.95436462,-83.37124007,2691,26
Bossier,Louisiana,32.67932307,-93.60460152,2667,92
Starr,Texas,26.56150059,-98.73892358,2635,124
Charlotte,Florida,26.90131002,-81.92949121,2602,109
Umatilla,Oregon,45.59073056,-118.7353826,2599,35
Houston,Georgia,32.45802497,-83.66879087,2587,65
Etowah,Alabama,34.04567266,-86.04051873,2578,38
Kent,Delaware,39.08646628,-75.56884914,2566,109
Troup,Georgia,33.03349196,-85.02812115,2557,82
Bear River,Utah,41.52106798,-113.0832816,2526,9
Catawba,North Carolina,35.66211129,-81.2132617,2512,43
Hernando,Florida,28.55364461,-82.42700204,2506,79
Jefferson,Missouri,38.25926778,-90.53870896,2486,31
Anderson,Texas,31.81534745,-95.65354823,2482,18
Johnson,Texas,32.37877812,-97.36615819,2470,42
Pickaway,Ohio,39.64170392,-83.0243386,2470,42
Vanderburgh,Indiana,38.02658833,-87.58763124,2452,18
Saginaw,Michigan,43.33433923,-84.0513121,2449,131
Montgomery,Tennessee,36.49609412,-87.38550661,2418,28
Bradley,Tennessee,35.15739424,-84.857186,2416,16
Suwannee,Florida,30.19746066,-82.9909967,2388,56
Bayamon,Puerto Rico,18.34946,-66.168435,2384,0
Harford,Maryland,39.55010644,-76.3077594,2381,69
Randolph,North Carolina,35.71015088,-79.80570339,2370,43
Bartow,Georgia,34.23732119,-84.83887523,2361,68
Buncombe,North Carolina,35.61113393,-82.53305,2347,67
Charles,Maryland,38.51092331,-76.98580666,2331,93
Dallas,Iowa,41.68560356,-94.04127625,2306,38
Jackson,Florida,30.7954597,-85.21500423,2301,65
Comal,Texas,29.80811278,-98.27647225,2297,94
Aiken,South Carolina,33.54338026,-81.63645384,2293,57
Yolo,California,38.68278902,-121.9018288,2287,51
Yavapai,Arizona,34.59933926,-112.5538588,2277,76
Putnam,Tennessee,36.14005459,-85.50646123,2275,27
Iredell,North Carolina,35.80950511,-80.8743128,2271,19
Peoria,Illinois,40.78702156,-89.76078901,2271,40
Oneida,New York,43.24375382,-75.43710392,2264,120
Boulder,Colorado,40.09313619,-105.3546767,2261,79
Carroll,Georgia,33.58138199,-85.07976677,2260,57
Gadsden,Florida,30.57796289,-84.61915825,2254,31
Stark,Ohio,40.81482476,-81.36437305,2250,151
Hendricks,Indiana,39.76719009,-86.51037283,2241,111
Ford,Kansas,37.69200114,-99.88825298,2239,10
Newton,Georgia,33.55514538,-83.8454714,2234,58
Calhoun,Alabama,33.77483727,-85.82630386,2225,26
Champaign,Illinois,40.13919438,-88.20046615,2210,20
Boone,Missouri,38.99186229,-92.30723575,2209,6
Jasper,Missouri,37.20351921,-94.34050458,2207,34
Sevier,Tennessee,35.78077323,-83.52244332,2200,11
Warren,Ohio,39.42581994,-84.16557457,2198,42
Floyd,Georgia,34.26268279,-85.21577392,2193,29
Newport News,Virginia,37.08166899,-76.51754109,2190,21
Paulding,Georgia,33.91969522,-84.86848792,2184,31
Cumberland,Maine,43.8370751,-70.37226999,2171,70
Grant,Washington,47.20753737,-119.4500749,2166,14
Portsmouth,Virginia,36.85914825,-76.35971629,2161,34
Coweta,Georgia,33.35334302,-84.76129976,2153,26
Ulster,New York,41.89027881,-74.26252104,2152,94
Kootenai,Idaho,47.67282258,-116.7020872,2150,29
Orange,North Carolina,36.06092947,-79.12167935,2143,50
Randall,Texas,34.96585996,-101.8971322,2125,27
Clark,Washington,45.77568046,-122.4829204,2122,54
Pickens,South Carolina,34.88807695,-82.72791551,2118,33
Jones,Mississippi,31.62257767,-89.168969,2111,71
Scott,Iowa,41.63935978,-90.61959493,2111,19
Kankakee,Illinois,41.13746989,-87.86205334,2107,71
Davidson,North Carolina,35.79115496,-80.21256572,2106,32
Forrest,Mississippi,31.18961454,-89.25832496,2098,61
Shawnee,Kansas,39.04100763,-95.7557264,2098,22
Rock Island,Illinois,41.46613806,-90.57042164,2094,52
Lee,Mississippi,34.2918775,-88.68149954,2086,51
Story,Iowa,42.03621213,-93.46499005,2079,16
Duplin,North Carolina,34.93449805,-77.93140529,2065,50
Lorain,Ohio,41.29553751,-82.15083537,2059,81
Ottawa,Michigan,42.95996803,-85.9969107,2042,63
Citrus,Florida,28.84804315,-82.47614748,2031,54
DeKalb,Alabama,34.45946862,-85.80782906,2026,14
Lackawanna,Pennsylvania,41.43564672,-75.60379201,2012,213
Jefferson,Arkansas,34.26767081,-91.92619839,2002,47
Johnson,Indiana,39.48994426,-86.10149107,1990,120
Dakota,Nebraska,42.39040144,-96.56656425,1977,42
Angelina,Texas,31.25457347,-94.60901487,1968,65
Dubuque,Iowa,42.46815349,-90.88181925,1966,36
Washington,Mississippi,33.28392041,-90.94196237,1964,59
Douglas,Colorado,39.33133796,-104.930001,1958,60
Olmsted,Minnesota,44.00374114,-92.40209944,1958,24
Hendry,Florida,26.55386945,-81.16469006,1955,39
Elmore,Alabama,32.59785413,-86.14415284,1950,42
Blount,Tennessee,35.68938198,-83.92847788,1940,17
St. Martin,Louisiana,30.13112107,-91.61403569,1922,55
Scott,Minnesota,44.6490231,-93.53340251,1916,31
Val Verde,Texas,29.89149232,-101.1525205,1912,86
Yellowstone,Montana,45.93955949,-108.2691486,1906,41
Kalamazoo,Michigan,42.24542231,-85.53038622,1890,87
Guadalupe,Texas,29.58165339,-97.94786822,1885,71
Larimer,Colorado,40.66671597,-105.4625784,1880,39
Clackamas,Oregon,45.18787398,-122.2179634,1878,55
Finney,Kansas,38.04340344,-100.7381938,1876,12
Burleigh,North Dakota,46.97847375,-100.4645214,1865,14
Cass,Indiana,40.76135835,-86.34830753,1854,9
Vermilion,Louisiana,29.83517605,-92.30292538,1853,41
Nobles,Minnesota,43.67434621,-95.75329576,1847,13
Gregg,Texas,32.47940482,-94.81591935,1840,44
Hall,Nebraska,40.87257079,-98.50218293,1823,46
Buena Vista,Iowa,42.73545875,-95.15100162,1822,12
Orange,Texas,30.11879481,-93.89412775,1817,35
Burke,North Carolina,35.74989637,-81.70755735,1816,28
Cochise,Arizona,31.87934684,-109.7516088,1805,58
Robertson,Tennessee,36.52454807,-86.87346725,1788,26
Rockingham,New Hampshire,42.98499744,-71.12883377,1787,100
Columbiana,Ohio,40.76932373,-80.78094576,1786,64
Highlands,Florida,27.34254618,-81.34071957,1781,60
Manassas,Virginia,38.7464321,-77.48509905,1778,23
Westmoreland,Pennsylvania,40.3137798,-79.46615476,1778,49
Walker,Alabama,33.80270512,-87.30027177,1776,68
Carolina,Puerto Rico,18.374986,-65.956831,1766,0
Houston,Alabama,31.15197924,-85.29939599,1766,14
Butte,California,39.66727762,-121.6005252,1765,21
Greenwood,South Carolina,34.15272415,-82.12715789,1761,37
Spotsylvania,Virginia,38.18574462,-77.655399,1759,38
Sumter,Florida,28.70181754,-82.0794267,1754,48
Coffee,Georgia,31.54892966,-82.8549206,1751,36
Putnam,Florida,29.60779729,-81.74230285,1750,36
Craighead,Arkansas,35.83018283,-90.63235729,1746,14
